char|kMandarin|kDefinition|kSimplifiedVariant|kTraditionalVariant|kSemanticVariant|kSpecializedSemanticVariant|kFrequency|kRSKangXi|kTotalStrokes|kFourCornerCode|kCangjie|kCangjieCh|kHanYu|kKangXi|kPhonetic|radical|hsk|rth|rthkeyword|rsh|rshkeyword
楊|yang2|willow, poplar, aspen; surname|杨||||3||13|4692.7|DAMH|木日一竹|21248.040|0538.300|1529|75||1726|poplar||
楋|la4||||||||13|5290.0|DDLN|木木中弓|21245.030|0538.310||75|||||
楌|yan2||||||||13|4092.2|DYHH|木卜竹竹|21254.140|0538.350||75|||||
楍|ben3||||||||13||XDRRR|難木口口口|21250.070|0538.360||75|||||
楎|hui1|peg|||||||13|4795.0|DBJJ|木月十十|21256.040|0538.380|723|75|||||
楏|kui2||||||||13|4491.4|DKGG|木大土土|21246.090|0539.010||75|||||
楐|jie4||||||||13||DWOL|木田人中|21250.010|0539.020||75|||||
楑|kui2||||||||13|4293.4|DNOK|木弓人大|21258.030|0539.040||75|||||
楒|si1||||||||13|4693.0|DWP|木田心|21250.020|0539.070||75|||||
楓|feng1|maple tree|枫||||4||13|4791.0|DHNI|木竹弓戈|21253.080|0539.080|408|75||1712|maple||
楔|xie1|wedge; gatepost; foreword|||||||13|4793.4|DQHK|木手竹大|21242.070|0539.130|564|75|||||
楕|tuo3|oval-shaped, elliptical, tubular|||||||13|4492.7|DKMB|木大一月|21246.020|0539.150||75|||||
楖|zhi4||||||||11|4792.0|DAIL|木日戈中|21251.130|0539.160||75|||||
楗|jian4|bar of door, bolt of lock|||||||12|4594.4|DNKQ|木弓大手|21240.020|0539.180|620|75|||||
楘|mu4|band|||||||13|1890.4|NKD|弓大木|21258.080|0539.200|917|75|||||
楙|mao4|name of plant; lush|||||||13|4499.0|DNHD|木弓竹木|21258.050|0539.220|869 887|75|||||
楚|chu3|name of feudal state; clear|||||3||13|4480.1|DDNYO|木木弓卜人|21244.090|0539.230|235 1226|75|3|373|clear|399|clear
楛|hu4|coarse, crude; plant|||||||12|4496.4|DTJR|木廿十口|21225.030|0540.030|385|75|||||
楜|hu2||||||||13|4792.0|DJRB|木十口月|21244.020|0540.060||75|||||
楝|lian4|Melia japonica|||||||13|4599.6|DDWF|木木田火|21245.090|0540.070|549|75|||||
楞|leng2|used for Ceylon in Buddhist texts|||棱稜||5||13|4692.7|DWLS|木田中尸|21250.100|0540.080|811|75|||||
楟|ting2|tree|||||||13|4092.1|DYRN|木卜口弓|21254.090|0540.100||75|||||
楠|nan2|name of tree, machilus nanmu|||枏枬||5||13|4492.7|DJBJ|木十月十|21244.030|0540.110|939|75|||||
楡|yu2|elm tree|||||||13|4892.1|DOMV|木人一女|21253.011|0540.120|1611|75|||||
楢|you2|tinder|||||||13|4896.1|DTCW|木廿金田|21255.060|0540.130|1513A|75|||||
楣|mei2|crossbeam above or under gate|||||5||13|4796.7|DAHU|木日竹山|21257.080|0540.140|889|75|||||
楤|song3||||||||13||DPKP|木心大心|21254.060|0540.160||75|||||
楥|xuan4|a last for making shoes; to turn on a lathe|||楦||||13|5294.7|DBME|木月一水|21253.050|0540.170|1468|75|||||
楦|xuan4|a last for making shoes; to turn on a lathe|||楥||||13|4391.6|DJMM|木十一一|21255.090|0540.180|1244|75|||||
楧|yang3||||||||12||DTLK|木廿中大|21243.070|0540.210||75|||||
楨|zhen1|hardwood; supports, posts|桢||||||13|4198.1|DYBC|木卜月金|21247.030|0540.220|198|75|||||
楩|pian2|tree|||||||13|4194.6|DOMK|木人一大|21251.090|0540.240|1047|75|||||
楪|ye4|small dish; window|||||||13|4499.4|DPTD|木心廿木|21243.100|0541.020||75|||||
楫|ji2|oar, paddle|||艥檝||||13|4694.1|DRSJ|木口尸十|21249.010|0541.030|70|75|||||
楬|jie2|tablet; a signpost|||||||13|4692.7|DAPV|木日心女|21249.060|0541.040|510|75|||||
業|ye4|profession, business, trade|业||||2||13|3290.4|TCTD|廿金廿木|21247.070|0541.050|1589|75||1304|profession||
楮|chu3|mulberry; paper|||||||12|4496.0|DJKA|木十大日|21223.090|0541.090|94|75|||||
楯|dun4|shield; horizontal bar|||||||13|4296.4|DHJU|木竹十山|21252.040|0541.100|1401|75|||||
楰|yu2|tree|||||||12|4793.7|DHXO|木竹難人|21233.080|0541.110|1609|75|||||
楱|zou4||||||||13|4593.4|DQKK|木手大大|21243.010|0541.120||75|||||
楲|wei1||||||||13||DIHV|木戈竹女|21246.010|0541.140||75|||||
楳|mei2|plums; prunes; surname|||||||13|4499.4|DTMD|木廿一木|21243.020|0541.150|886|75|||||
楴|ti4||||||||13|4092.7|DYBB|木卜月月|21254.190|0541.160||75|||||
極|ji2|extreme, utmost, furthest, final|极||||3||12|4191.4|DMEM|木一水一|21240.100|0542.020|611|75||1497|extreme||
楶|jie2||||||||13|3790.4|IORD|戈人口木|21254.170|0542.030||75|||||
楷|kai3|model style of Chinese writing|||||5||13|4196.1|DPPA|木心心日|21246.130|0542.050|537|75|||||
楸|qiu1|mallotus japonicus, deciduous tre|||||||13|4998.0|DHDF|木竹木火|21251.010|0542.070|88|75|||||
楹|ying2|column, pillar; numerary adjunct|||||||13|4791.7|DNST|木弓尸廿|21258.020|0542.090|1586|75|||||
楺|rou3||||||||13|4799.4|DNHD|木弓竹木|21258.060|0542.110||75|||||
楻|huang2||||||||13|5691.4|DHAG|木竹日土|21251.120|0542.150||75|||||
楼|lou2|building of two or more stories||樓|||3||13|4994.4|DFDV|木火木女|21255.030|0542.191|780|75|3|||785|multistory building
楽|le4|happy, glad; enjoyable; music|||||||13|3290.4|XIOD|難戈人木|80020.140|0542.191||75|||||
楾|quan2||||||||13|4693.2|DHAE|木竹日水|21251.131|0542.191||75|||||
楿|xiang1||||||||13||DHDA|木竹木日|21250.141|0542.191||75|||||
榀|pin3||||||||13|4696|DRRR|木口口口|21250.060|0542.191||75|||||
榁|shi3||||||||13|4391.4|DJMG|木十一土|21255.091|0542.191||75|||||
概|gai4|generally, approximately|||槩||3||13|4191.4|DAIU|木日戈山|21256.080|0542.191|599B|75|4|1102|approximate|1161|approximate
榃|tan2|raised path between fields|||||||13|4460.9|DWW|木田田|21244.060|0542.191||75|||||
榄|lan3|olive||欖|||5||13|4891|DLIU|木中戈山|21247.060|0542.191||75||||2988|olive (B)
榅|wen1|pillar, cryptomeria||榲|||||13||DABT|木日月廿|21249.050|0542.191||75|||||
榆|yu2|elm tree|||||||13|4892.1|DOMN|木人一弓|21253.010|0542.191||75||1602|elm|1629|elm
榇|chen4|coffin; tung tree||櫬|||||13|4099|DYTD|木卜廿木|21254.180|0542.191||75|||||
榈|lü2|palm||櫚|||||13|4792|DLSR|木中尸口|21255.010|0542.191||75|||||
榉|ju3|type of elm||櫸|||||13|4995|DFCQ|木火金手|21255.080|0542.191||75|||||
榊|shen2|a sacred Shinto tree|||||||13|4590.6|DIFL|木戈火中|21256.061|0542.191||75|||||
榋|chu5||||||||13||DSMS|木尸一尸|21256.071|0542.191||75|||||
榌|bi1|wooden ladder|||||||13||DNOO|木弓人人|21258.011|0542.191||75|||||
榍|xie4||||||||14|4792.7|DSFB|木尸火月|21271.040|0542.200||75|||||
榎|jia3|small evergreen shrub|||檟||||14|4194.7|DMUE|木一山水|21263.020|0542.210||75|||||
榏|yi4||||||||14||DTCT|木廿金廿|21266.020|0542.220||75|||||
榐|zhan3||||||||14|4793.2|DSTV|木尸廿女|21271.030|0542.230||75|||||
榑|fu2||||||||14|4394.2|DIBI|木戈月戈|21262.060|0542.240||75|||||
榒|nuo4||||||||14||DNMM|木弓一一|21271.050|0543.020||75|||||
榓|mi4||||||||14|4391.7|DPHT|木心竹廿|21271.010|0543.030||75|||||
榔|lang2|betel-nut tree|||||5||12|4792.7|DIIL|木戈戈中|21239.030|0543.040|832*|75|||||
榕|rong2|banyan tree|||||5||14|4396.8|DJCR|木十金口|21270.060|0543.060|1657|75||1893|banyan|1953|banyan
榖|gu3|paper mulberry|||||||14|4794.7|GDHNE|土木竹弓水|32163.030|0543.070||75|||||
榗|jian4||||||||14|4196.1|DMIA|木一戈日|21263.090|0543.090||75|||||
榘|ju3|carpenter's square, ruler, rule|||||||13|8190|OSD|人尸木|21250.130|0543.110|676|75|||||
榙|ta1||||||||13|4496.1|DTOR|木廿人口|21261.070|0543.130||75|||||
榚|yao3||||||||14|4893.1|DTGF|木廿土火|21269.020|0543.150||75|||||
榛|zhen1|hazelnut; thicket, underbrush|||亲||||14|4599.4|DQKD|木手大木|21259.050|0543.180|319|75|||||
榜|bang3|placard; list of successful exam candidates|||||4||14|4092.7|DYBS|木卜月尸|21268.120|0543.190|1081|75|6|1703|roster|1735|roster
榝|sha1||||||||14||DKDE|木大木水|21266.010|0543.200|1111|75|||||
榞|yuan2||||||||14|4199.6|DMHF|木一竹火|21263.040|0543.210||75|||||
榟|zi3||||||||14||DJYJ|木十卜十|21270.080|0543.220||75|||||
榠|ming2||||||||14|4798.0|DBAC|木月日金|21270.110|0543.230||75|||||
榡|su4||||||||14|4599.3|DQMF|木手一火|21259.060|0543.270||75|||||
榢|jia4|a frame, a stand, a rack. framework or scaffold.to lay on a frame; to put up|||架||||14||DJMO|木十一人|21270.020|0543.280||75|||||
榣|yao2||||||||14|4797.2|DBOU|木月人山|21265.060|0543.300|1597|75|||||
榤|jie2|perch for fowls roost on|||||||14|4599.4|DNQD|木弓手木|21267.040|0543.330||75|||||
榥|huang4|screen|||||||14|4691.1|DAFU|木日火山|21263.170|0543.350||75|||||
榦|gan4|tree trunk; support, prop|||||||14|4849.4|JJOD|十十人木|21261.100|0544.010|654|75|||||
榧|fei3|type of yew|||棐||||14|4191.1|DSLY|木尸中卜|21260.010|0544.020|367|75|||||
榨|zha4|to press or extract juices; a press to extract juices; a vegetable|||醡|酢|5||14|4391.1|DJCS|木十金尸|21270.030|0544.030|15|75|6|2290|extract|2359|extract
榩|qian2||||||||14|4294.7|DYPK|木卜心大|21263.141|0544.040||75|||||
榪|ma4|headboard|杩||||||14|4192.7|DSQF|木尸手火|21260.020|0544.050||75|||||
榫|sun3|mortise and tenon; fit into|||||||14|4094|DOGJ|木人土十|21264.110|0544.080|310|75|||||
榬|yuan2||||||||14|4493.2|DGRV|木土口女|21260.050|0544.090||75|||||
榭|xie4|kiosk, pavilion|||||||14|4490.0|DHHI|木竹竹戈|21265.010|0544.160|1155|75|||||
榮|rong2|glory, honor; flourish, prosper|荣||荣||3||14|9990.4|FFBD|火火月木|21269.080|0544.170|1451 1587|75||802|glory||
榯|shi2||||||||14|4494.1|DAGI|木日土戈|21263.160|0544.180||75|||||
榰|zhi1||||||||14|4496.1|DJPA|木十心日|21260.080|0544.190||75|||||
榱|cui1|rafter|||||||14|4093.2|DYWV|木卜田女|21267.070|0544.200|1249|75|||||
榲|wen1|pillar, cryptomeria|榅||||||14|4691.7|DWOT|木田人廿|21264.071|0544.210||75|||||
榳|ting2||||||||13|4394.1|DING|木戈弓土|21268.020|0544.230||75|||||
榴|liu2|pomegranate|||橊||5||14|4796.2|DHHW|木竹竹田|21267.050|0544.240|782|75||2367|pomegranate|2433|pomegranate
榵|rong2||||||||13|4494.1|DTSJ|木廿尸十|21261.020|0544.250||75|||||
榶|tang2||||||||14|4096.7|DILR|木戈中口|21268.080|0544.260|1381|75|||||
榷|que4|footbridge; toll, levy; monopoly|||||5||14|4491.4|DOBG|木人月土|21270.120|0544.270|649|75|||||
榸|zhai1||||||||14||DGWG|木土田土|21260.030|0545.040||75|||||
榹|si1||||||||14|4291.7|DHYU|木竹卜山|21265.050|0545.050||75|||||
榺|sheng4||||||||14||BFQD|月火手木|32102.170|0545.070||75|||||
榻|ta4|cot, couch, bed|||||||14|4692.7|DASM|木日尸一|21263.190|0545.090|1305|75|||||
榼|ke1|wine glass|||||||14|4491.7|DGIT|木土戈廿|21260.100|0545.120|508|75|||||
榽|xi1||||||||14|4293.4|DBVK|木月女大|21265.070|0545.130||75|||||
榾|gu3|pieces of wood|||||||13|4792.7|DBBB|木月月月|21250.120|0545.140|735|75|||||
榿|qi1|alder|桤||||||14|4291.8|DUMT|木山一廿|21264.040|0545.150||75|||||
槀|gao3|draft, manuscript|||稿||||14||YBD|卜月木|21267.090|0545.160|637|75|||||
槁|gao3|wither; withered, rotten, dead|||||||14|4092.7|DYRB|木卜口月|21267.080|0545.170|637|75|||||
槂|sun1||||||||14|4299.3|DNDF|木弓木火|21271.070|0545.190||75|||||
槃|pan2|tray; turn, rotate; search|||||5||14|2790.4|HED|竹水木|21265.080|0545.200|1087|75|||||
槄|tao1||||||||14|4297.7|DBHX|木月竹難|21266.040|0545.220||75|||||
槅|ge2||||||||14||DMRB|木一口月|21262.070|0545.230|542|75|||||
槆|chun1||||||||13|4492.7|DTPA|木廿心日|21261.080|0545.260||75|||||
槇|dian1|tip of a tree; fallen tree|||||||14|4498.1|DPBC|木心月金|21266.090|0545.270||75|||||
槈|nou4||||||||14||DMVI|木一女戈|21263.010|0546.020||75|||||
槉|ji2||||||||14|4093.4|DKOK|木大人大|21268.050|0546.040|73|75|||||
槊|shuo4|spear, lance|||鎙||||14|8790.4|TBD|廿月木|21269.060|0546.060|1231|75|||||
構|gou4|frame, building, structure|构||||3||14|4594.7|DTTB|木廿廿月|21259.070|0546.070|589|75||1321|frame||
槌|chui2|hammer, mallet; strike, beat|||棰椎||5||13|4793.7|DYHR|木卜竹口|21252.030|0546.080|286|75|||||
槍|qiang1|spear, lance; gun, rifle|枪||||4||14|4896.7|DOIR|木人戈口|21266.050|0546.090|254|75||1210|gun||
槎|cha2|raft; time, occasion; to hew|||楂||||13|4891.1|DTQM|木廿手一|21255.020|0546.100|12|75|||||
槏|qian3||||||||14|4893.7|DTXC|木廿難金|21265.040|0546.110||75|||||
槐|huai2|locust tree|||||||13|4691.3|DHI|木竹戈|21252.010|0546.130|711|75||2899|scholar tree|2925|scholar tree
槑|mei2||||||||14||RDRD|口木口木|21263.180|0546.140|969|75|||||
槒|xu4||||||||14||DYVW|木卜女田|21269.010|0546.230||75|||||
槓|gang4|lever, pole, crowbar; sharpen; (Cant.) a wardrobe, trunk|||杠篢||5||14|4198.6|DMBC|木一月金|21260.040|0546.251|692|75||1544|thick stick||
槔|gao1||||||||14|4694.3|DHAJ|木竹日十|21264.130|0546.251|639|75|||||
槕|zhuo1||||||||14||DYAD|木卜日木|21263.110|0546.251||75|||||
槖|tuo2|a sack; a stamping sound|||橐||||14||GBMD|土月一木|10483.060 21260.060|0546.251|1157*|75|||||
槗|qiao2||||||||14||DKRB|木大口月|80020.180|0546.251||75|||||
様|yang4|shape, form, pattern, style|||||||14|4893.2|XDTGE|難木廿土水|21284.061|0546.251||75|||||
槙|dian1|a twig; an ornamental evergreen|||||||14|4498.1|DJBC|木十月金|21266.091|0546.251||75|||||
槚|jia3|small evergreen shrub||檟|||||14||DMWO|木一田人|21262.090|0546.251||75|||||
槛|kan3|threshold, door-sill||檻|||5||14|4891|DLIT|木中戈廿|21263.150|0546.251||75|||||
槜|zui4||||||||14||XDOGS|難木人土尸|21264.120|0546.251||75|||||
槝|dao3||||||||14|4792.7|DHAU|木竹日山|21266.061|0546.251||75|||||
槞|long2||||||||14|4091.6|XDYTU|難木卜廿山|21268.101|0546.251||75|||||
槟|bin1|betel-nut, areca nut||檳|||5||14|4398|DJOC|木十人金|21270.050|0546.251||75|||||
槠|zhu1|Oak||櫧|||||14|4496|DIVA|木戈女日|21270.100|0546.251||75|||||
槡|sang1||||||||14||DEED|木水水木|21271.161|0546.251||75|||||
槢|xi2|a hard wood|||||||15|4796.2|DSMA|木尸一日|21285.110|0546.260|39|75|||||
槣|ji1||||||||15||DJKR|木十大口|21284.110|0546.270||75|||||
槤|lian2|a flail|梿||||||14|4593.0|DYJJ|木卜十十|21262.040|0546.280|808|75|||||
槥|hui4|coffin|||||||15|4597.1|DQJM|木手十一|21272.010|0546.290|1438|75|||||
槦|yong1||||||||15|4092.7|DILB|木戈中月|21283.140|0547.010||75|||||
槧|qian4|wooden tablet; edition|椠||||||15|5290.4|JLD|十中木|21275.100|0547.020|21|75|||||
槨|guo3|outer-coffin|椁||椁||||14|4792.7|DYDL|木卜木中|21268.010|0547.050|747|75|||||
槩|gai4|generally, approximately|||㮣概||||13||AUD|日山木|21257.011|0547.060|599B|75|||||
槪|gai4|generally|||㮣||||15||DHPU|木竹心山|21280.131|0547.070|599B|75|||||
槫|tuan2||||||||15|4594.3|DJII|木十戈戈|21275.110|0547.090||75|||||
槬|hua4||||||||15|4293.0|DKSO|木大尸人|21278.040|0547.110|1463|75|||||
槭|qi1|maple|||||||15|4395.0|DIHF|木戈竹火|21278.030|0547.120|175|75|||||
槮|sen1||||||||15|4392.2|DIIH|木戈戈竹|21286.010|0547.130|23|75|||||
槯|cui1||||||||15||DUOG|木山人土|21280.040|0547.140||75|||||
槰|peng2||||||||14||DYHJ|木卜竹十|21283.040|0547.160||75|||||
槱|you3|firewood for sacrifice|||||||15|4198.9|DMWF|木一田火|21277.030|0547.170|1513|75|||||
槲|hu2|type of oak|||||||15|4490.0|DNBJ|木弓月十|21283.020|0547.180|522|75|||||
槳|jiang3|oar, paddle|桨||||5||15|2790.4|VID|女戈木|21285.100|0547.210|112|75||2192|oar||
槴|hu4||||||||15|4291.7|DHSU|木竹尸山|21285.010|0548.010||75|||||
槵|huan4||||||||15||DLLP|木中中心|21280.030|0548.020||75|||||
槶|gui4||椢||||||15|4690.0|DWIM|木田戈一|21280.020|0548.030||75|||||
槷|nie4||||||||15|5590.4|GID|土戈木|21272.100|0548.040|962|75|||||
槸|yi4||||||||15|4591.7|DGGI|木土土戈|21272.090|0548.050||75|||||
槹|gao1|spar; well-sweep|||㓌||||15|4694.1|DHAJ|木竹日十|21280.140|0548.060||75|||||
槺|kang1||||||||15||DILE|木戈中水|21283.130|0548.090||75|||||
槻|gui1|zelkova tree|||||||15|4691.0|DQOU|木手人山|21272.060|0548.110|718|75|||||
槼|gui1|rules, regulations, customs, law|椝||||||15|5690.4|QUD|手山木|21272.070|0548.120|718|75|||||
槽|cao2|trough; manger; vat, tank; groove; a distillery|||||5||15|4596.6|DTWA|木廿田日|21275.120|0548.140|231|75||2166|trough|2235|trough
槾|man4|paste wall with dirt|||||||15|4694.7|DAWE|木日田水|21279.050|0548.150||75|||||
槿|jin3|hibiscus|||||||15|4491.4|DTLM|木廿中一|21273.060|0548.160|574|75|||||
樀|di2||||||||15|4092.7|DYCB|木卜金月|21284.040|0548.170||75|||||
樁|zhuang1|stake, post; affair, matter|桩||||5||15|4597.7|DQKX|木手大難|21272.020|0548.190|323|75||2915|stake||
樂|le4|happy, glad; enjoyable; music|乐||||2||15|2290.4 3290.4|VID|女戈木|21280.160|0548.200|972|75||1035|music||
樃|lang3||||||||14||DIIB|木戈戈月|21284.160|0549.010||75|||||
樄|chen2||||||||14|4599.6|DNLW|木弓中田|21271.060|0549.040||75|||||
樅|cong1|fir tree|枞||||||15|4898.1|DHOO|木竹人人|21281.050|0549.050|329|75|||||
樆|li2||||||||14|5002.7|DYUB|木卜山月|21268.070|0549.060||75|||||
樇|xiu1||||||||14|4792.7|DOLB|木人中月|21280.130|0549.080||75|||||
樈|qing2||||||||15|4091.6|DYTU|木卜廿山|21284.030|0549.100||75|||||
樉|shuang3||||||||15|4493.4|DKKK|木大大大|21278.050|0549.130||75|||||
樊|fan2|a railing; a fence an enclosed place|||棥||5||15|4443.0|DDK|木木大|21282.020|0549.150|341|75|||||
樋|tong3|tree name|||||||14|4793.2|DYNB|木卜弓月|21271.110|0549.160||75|||||
樌|guan4||||||||15|4798.6|DWJC|木田十金|21286.020|0549.170||75|||||
樍|ze2||||||||15|4598.6|DQMC|木手一金|21272.030|0549.210||75|||||
樎|su4||||||||15||DJOA|木十人日|21284.120|0549.220||75|||||
樏|lei3|sedan|||||||15|4699.3|DWVF|木田女火|21280.010|0549.260||75|||||
樐|lu3|a lookout turret on a city wall, movable wooden tower for archers; a scull a sweep, an oar|||㯭艪櫓||||15||DYWI|木卜田戈|21278.100|0549.270|822|75|||||
樑|liang2|bridge; beam|||梁||5||15|4799.4|DEID|木水戈木|21284.090|0549.280|797|75||1559|roof beam||
樒|mi4|a tree whose branches are placed on Buddhist graves|||||||15|4397.2|DJPU|木十心山|21284.140|0549.290||75|||||
樓|lou2|building of two or more stories|楼||||3||15|4594.4|DLWV|木中田女|21279.040|0549.310|780|75||1480|multistory building||
樔|chao2||||||||15|4299.4|DVVD|木女女木|21286.030|0550.030||75|||||
樕|su4|shrub|||||||15|4798.2|DDLO|木木中人|21276.020|0550.050|1230|75|||||
樖|ke1|(Cant.) classifier for plants or trees; a tree-trunk|||||||15|8092.1|OMRR|人一口口|21282.010|0550.070||75|||||
樗|chu1|Ailanthus glandulosa or A. altissima, a kind of tree useless as timber|||||||15|4192.7|DMBS|木一月尸|21278.080|0550.080|1602C|75|||||
樘|tang2||||||||15|4991.4|DFBG|木火月土|21279.030|0550.100||75|||||
標|biao1|a mark, symbol, label, sign; standard|标||||2||15|4199.1|DMWF|木一田火|21277.010|0550.120|1066|75||1196|mark||
樚|lu4|a pulley, a windlass, a wheel, a block|||轆||||15||DIXP|木戈難心|21283.150|0550.130||75|||||
樛|jiu1|bending branches, bent limbs|||||||15|4792.2|DSMH|木尸一竹|21285.120|0550.150|819|75|||||
樜|zhe4||||||||15||DITF|木戈廿火|21283.080|0550.170||75|||||
樝|zha1|a kind of hawthorne|||||||15|4191.7|DYPM|木卜心一|21278.110|0550.190|9|75|||||
樞|shu1|door hinge; pivot; center of power|枢||||4||15|4191.6|DSRR|木尸口口|21276.040|0550.200|678|75||1252|hub||
樟|zhang1|camphor tree|||||5||15|4094.6|DYTJ|木卜廿十|21284.020|0550.210|110|75|||||
樠|man2|elm; gum|||||||15|5402.7|DTLB|木廿中月|21274.010|0551.010|928|75|||||
模|mo2|model, standard, pattern; copy|||||3||14|4493.4|DTAK|木廿日大|21261.090|0551.020|921|75|5|218|imitate|232|imitate
樢|niao3||㭤||||||15|4792.7|DHAF|木竹日火|21282.060|0551.040||75|||||
樣|yang4|shape, form, pattern, style|样||||2||15|4893.2|DTGE|木廿土水|21284.070|0551.050|1530B|75||500|appearance||
樤|tiao2||||||||14||DOLD|木人中木|21280.120|0551.080||75|||||
樥|peng2||||||||14|4495.8|DTHJ|木廿竹十|21275.020|0551.100||75|||||
樦|zhu4||||||||15|4891.4|DHYG|木竹卜土|21280.100|0551.110||75|||||
樧|sha1||||||||15|4794.7|DKCE|木大金水|21280.141|0551.181||75|||||
樨|xi1|scrambled eggs|||||||16|4795.3|DSYQ|木尸卜手|21296.160|0551.181|1113|75|||||
権|quan2|power, right, authority|||||||15|4891.4|DOKG|木人大土|80020.260|0551.181||75|||||
横|heng2|across||橫|||||15|4498.6|DTLC|木廿中金|21273.070|0551.181|1458*|75|6|||1489|horizontal
樫|jian1|evergreen oak|㭴||||||15|4791.4|DSEG|木尸水土|21276.050|0551.181||75|||||
樬|cong1||||||||15||DHWP|木竹田心|21281.020|0551.181||75|||||
樭|ji1||||||||15||DTCG|木廿金土|21273.041|0551.181||75|||||
樮|yan1||||||||15|4198.9|XXDMW|難難木一田|21273.071|0551.181||75|||||
樯|qiang2|mast, yard-arm, boom||檣|||||15|4894|DGCW|木土金田|21275.090|0551.181||75|||||
樰|xue3||||||||15||XDMBS|難木一月尸|21278.081|0551.181||75|||||
樱|ying1|cherry, cherry blossom||櫻|||5||15|4794|DBOV|木月人女|21280.050|0551.181||75||||1567|cherry
樲|er4|jujube|||||||16|5394.0|DIPC|木戈心金|21286.040|0551.190|1552A|75|||||
樳|xun2|tall tree|桪||||||16||DSMI|木尸一戈|21296.110|0551.200|62|75|||||
樴|zhi2||||||||16|4395.0|DYIA|木卜戈日|21295.010|0551.210|164|75|||||
樵|qiao2|woodcutter; firewood; gather wood|||||5||16|4093.1|DOGF|木人土火|21293.070|0551.220|216|75|||||
